name,regex
تلیمان (سغدی),تلیمان |تلیمان|تلیمان‌سغدی
توس (پهلوان),توس |توس|زرینه کفش
تور,تور|تور|تورج|توژ
تهمینه,تهمینه|تهمینه
جاماسپ شاه ساسانی,جاماسپ شاه ساسانی
جاماسپ (وزیر گشتاسپ),جاماسپ |جاماسپ
جان فروز,جان فروز
جانوشیار,جانوشیار
جانوسپار,جانوسپار
جرنجاش,جرنجاش
جریره,جریره|جریره
جمشید,جمشید|جمشید|یم|یمه|جمشاب
جمهور (شاه هندوستان),جمهور 
جندل,جندل|جندل
جوانوی,جوانوی
جهن,جهن|جهن
جهن‌برزین,جهن‌برزین
چنگش,چنگش
حسنوی,حسنوی
حمزه(دوره هرمزد نوشین‌روان),حمزه
حسین قتیب,حسین قتیب
حیی قتیب,حیی قتیب
خانگی(فرستاده قیصر),خانگی
خراد(دوره اردشیر یکم),خراد
خراد (دوره قباد یکم),خراد 
خراد‌ پسر برزین,خراد‌ پسر برزین
خراسان (پهلوان دوره خسرو‌پرویز),خراسان 
خرنجاس,خرنجاس
خزاعه,خزاعه
خزروان (پهلوان تورانی),خزروان |خزروان|شاه ری
خزروان پسر رهام,خزروان پسر رهام
خزروان خسرو,خزروان خسرو
خزروان (دیو),خزروان |خَروَزان|دیو سیاه|بچه دیو|پور اهریمن
خسرو(مدعی شاهی),خسرو
خسرو (آسیابان),خسرو 
خسرو پرویز,خسرو پرویز
خوزان,خوزان|خوزان
خشاش,خشاش
خضر پیامبر,خضر پیامبر
خواست‌یزد (نهان‌دار انوشیروان),خواست‌یزد 
خَنْجَست,خَنْجَست
خوشنواز,خوشنواز
دادبرزین (پهلوان زابلی),دادبرزین 
دادبرزین آژنگ‌چهر,دادبرزین آژنگ‌چهر
دارا,دارا|دارا|دارا
دارا‌پناه,دارا‌پناه
داراب (شهریار ایران),داراب |داراب|کی‌داراب
دقیقی,دقیقی
دمور,دمور|دمور
دلارا,دلارا
دل‌افروز (خارکن),دل‌افروز 
دیو سپید,دیو سپید
رادمان(پهلوان دوره خسرو پرویز),رادمان
رادیان,رادیان
رادوی,رادوی
رام‌برزین,رام‌برزین
رخش,رخش|رخش
رستم,رستم|رستم|دستان|تهمتن|پیل‌تن|تاج‌بخش
رستم پورهرمزد,رستم پورهرمزد
رشنواد,رشنواد|رَشنواد
رشنواد(منادی‌گر انوشیروان عادل),رشنواد
رودابه,رودابه|رودابه
رودکی,رودکی|پدر شعر فارسیاستاد شاعران جهان
روزبه,روزبه
روشنک همسر اسکندر,روشنک همسر اسکندر
روئین‌,روئین‌|رویین
رهام,رهام|رهـــام|رهام‌نیو
ریونیز,ریونیز|ریونیز|گـُرد و سوار
زادشم,زادشم|زادشم
زاد‌فرخ (دبیر سپاه انوشیروان),زاد‌فرخ 
زاد‌فرخ(بارخواه خسروپرویز),زاد‌فرخ
زال,زال|زال|دستان سام
زردهشت(پیامبر),زردهشت
زردهشت(موبد موبدان),زردهشت
زرسب,زرسب
زرمهر پسر سوفزای,زرمهر پسر سوفزای
زروان (حاجب انوشیروان),زروان 
زریر,زریر|زریـــر
زنگله (شاهنامه),زنگله 
زنگوی,زنگوی
زنگه شاوران,زنگه شاوران|زنگه
زواره,زواره
زهیر,زهیر
ساسان,ساسان
سام پسر نریمان,سام پسر نریمان|سام|سام نیرم
سام پسر اسفندیار,سام پسر اسفندیار
ساوه (پهلوان دوره انوشیروان),ساوه 
ساوه‌شاه,ساوه‌شاه
سباک,سباک
سپهرم,سپهرم|سپهرم
سپینود,سپینود|سپینود
سرخه,سرخه
سرگس(سردار رومی),سرگس
سرگس(رامشگر),سرگس
سرو (شاه یمن),سرو |سرو
سروش,سروش
سروش(فرشته),سروش
سعد,سعد
سعد وقاص,سعد وقاص
سلم,سلم
سنباد (پهلوان دوره خسرو‌پرویز),سنباد 
سنجه(دیو),سنجه|سنجه دیو
سوخرا,سوخرا
سودابه,سودابه|سودابه
سورگ‌هندی,سورگ‌هندی
سوسنک (زن بهرام گور),سوسنک 
سوفرا,سوفرا
